naics,naics_title,sic,sic_description
339910,Jewelry and Silverware Manufacturing ,3961,Costume Jewelry
339920,Sporting and Athletic Goods Manufacturing,3069,"Fabricated Rubber Products, Nec"
339920,Sporting and Athletic Goods Manufacturing,3949,"Sporting and athletic Goods, Nec"
339930,"Doll, Toy, and Game Manufacturing",3069,"Fabricated Rubber Products, Nec"
339930,"Doll, Toy, and Game Manufacturing",3942,Dolls and Stuffed Toys
339930,"Doll, Toy, and Game Manufacturing",3944,"Games, Toys, and Children's Vehicles"
339930,"Doll, Toy, and Game Manufacturing",3999,"Manufacturing Industries, Nec"
339940,Office Supplies (except Paper) Manufacturing,2531,Public Building and Related Furniture
339940,Office Supplies (except Paper) Manufacturing,3579,"Office Machines, Nec"
339940,Office Supplies (except Paper) Manufacturing,3951,Pens and Mechanical Pencils
339940,Office Supplies (except Paper) Manufacturing,3952,Lead Pencils and Art Goods
339940,Office Supplies (except Paper) Manufacturing,3953,Marking Devices
339940,Office Supplies (except Paper) Manufacturing,3955,Carbon Paper and Inked Ribbons
339950,Sign Manufacturing,3993,Signs and Advertising Specialties
339991,"Gasket, Packing, and Sealing Device Manufacturing ",3053,Gaskets; Packing and Sealing Devices
339992,Musical Instrument Manufacturing ,3931,Musical Instruments
339993,"Fastener, Button, Needle, and Pin Manufacturing ",3131,Footwear Cut Stock
339993,"Fastener, Button, Needle, and Pin Manufacturing ",3961,Costume Jewelry
339993,"Fastener, Button, Needle, and Pin Manufacturing ",3965,"Fasteners, Buttons, Needles, and Pins"
339994,"Broom, Brush, and Mop Manufacturing ",2392,"Household Furnishings, Nec"
339994,"Broom, Brush, and Mop Manufacturing ",3991,Brooms and Brushes
339995,Burial Casket Manufacturing ,3995,Burial Caskets
339999,All Other Miscellaneous Manufacturing ,2499,"Wood Products, Nec"
339999,All Other Miscellaneous Manufacturing ,3634,Electric Housewares and Fans
339999,All Other Miscellaneous Manufacturing ,3842,Surgical Appliances and Supplies
339999,All Other Miscellaneous Manufacturing ,3999,"Manufacturing Industries, Nec"
423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,5012,Automobiles and Other Motor Vehicles
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,5013,Motor Vehicle Supplies and New Parts
423130,Tire and Tube Merchant Wholesalers ,5014,Tires and Tubes
423140,Motor Vehicle Parts (Used) Merchant Wholesalers ,5015,"Motor Vehicle Parts, Used"
423210,Furniture Merchant Wholesalers ,5021,Furniture
423220,Home Furnishing Merchant Wholesalers ,5023,Homefurnishings
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",5031,"Lumber, Plywood, and Millwork"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",5039,"Construction Materials, Nec"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",5032,"Brick, Stone, and Related Material"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",5033,"Roofing, Siding, and Insulation"
423390,Other Construction Material Merchant Wholesalers ,5039,"Construction Materials, Nec"
423410,Photographic Equipment and Supplies Merchant Wholesalers ,5043,Photographic Equipment and Supplies
423420,Office Equipment Merchant Wholesalers ,5044,Office Equipment
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,5045,"Computers, Peripherals, and Software"
423440,Other Commercial Equipment Merchant Wholesalers ,5046,"Commercial Equipment, Nec"
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",5047,Medical and Hospital Equipment
423460,Ophthalmic Goods Merchant Wholesalers ,5048,Ophthalmic Goods
423490,Other Professional Equipment and Supplies Merchant Wholesalers ,5049,"Professional Equipment, Nec"
423510,Metal Service Centers and Other Metal Merchant Wholesalers ,5051,Metals Service Centers and Offices
423520,Coal and Other Mineral and Ore Merchant Wholesalers ,5052,Coal and Other Minerals and Ores
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",5063,Electrical Apparatus and Equipment
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",5064,"Electrical Appliances, Television and Radio"
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",5074,Plumbing and Hydronic Heating Supplies
423690,Other Electronic Parts and Equipment Merchant Wholesalers ,5065,"Electronic Parts and Equipment, Nec"
423710,Hardware Merchant Wholesalers ,5072,Hardware
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,5064,"Electrical Appliances, Television and Radio"
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,5074,Plumbing and Hydronic Heating Supplies
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,5075,Warm Air Heating and Air Conditioning
423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,5078,Refrigeration Equipment and Supplies
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,5082,Construction and Mining Machinery
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,5083,Farm and Garden Machinery
423830,Industrial Machinery and Equipment Merchant Wholesalers ,5084,Industrial Machinery and Equipment
423830,Industrial Machinery and Equipment Merchant Wholesalers ,5085,Industrial Supplies
423840,Industrial Supplies Merchant Wholesalers,5085,Industrial Supplies
423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,5087,Service Establishment Equipment
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,5088,Transportation Equipment and Supplies
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,5091,Sporting and Recreation Goods
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,5136,Men's and Boy's Clothing
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,5137,Women's and Children's Clothing
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers ,5092,Toys and Hobby Goods and Supplies
423930,Recyclable Material Merchant Wholesalers ,5093,Scrap and Waste Materials
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",5094,Jewelry and Precious Stones
423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,5099,"Durable Goods, Nec"
423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,7822,Motion Picture and Tape Distribution
424110,Printing and Writing Paper Merchant Wholesalers ,5111,Printing and Writing Paper
424120,Stationery and Office Supplies Merchant Wholesalers ,5112,Stationery and Office Supplies
424130,Industrial and Personal Service Paper Merchant Wholesalers ,5113,Industrial and Personal Service Paper
424210,Drugs and Druggists' Sundries Merchant Wholesalers ,5122,"Drugs, Proprietaries, and Sundries"
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",5131,Piece Goods and Notions
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",5199,"Nondurable Goods, Nec"
424340,Footwear Merchant Wholesalers ,5139,Footwear
424340,Footwear Merchant Wholesalers ,5199,"Nondurable Goods, Nec"
424350,Clothing and Clothing Accessories Merchant Wholesalers,5136,Men's and Boy's Clothing
424350,Clothing and Clothing Accessories Merchant Wholesalers,5137,Women's and Children's Clothing
424410,General Line Grocery Merchant Wholesalers ,5141,"Groceries, General Line"
424420,Packaged Frozen Food Merchant Wholesalers ,5142,Packaged Frozen Goods
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,5143,"Dairy Products, Except Dried or Canned"
424440,Poultry and Poultry Product Merchant Wholesalers ,5144,Poultry and Poultry Products
424450,Confectionery Merchant Wholesalers ,5145,Confectionery
424460,Fish and Seafood Merchant Wholesalers ,5146,Fish and Seafoods
424470,Meat and Meat Product Merchant Wholesalers ,5147,Meats and Meat Products
424480,Fresh Fruit and Vegetable Merchant Wholesalers ,5148,Fresh Fruits and Vegetables
424490,Other Grocery and Related Products Merchant Wholesalers ,5149,"Groceries and Related Products, Nec"
424510,Grain and Field Bean Merchant Wholesalers ,5153,Grain and Field Beans
424520,Livestock Merchant Wholesalers ,5154,Livestock
424590,Other Farm Product Raw Material Merchant Wholesalers ,5159,"Farm-product Raw Materials, Nec"
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers ,5162,Plastics Materials and Basic Shapes
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers ,5199,"Nondurable Goods, Nec"
424690,Other Chemical and Allied Products Merchant Wholesalers ,5169,"Chemicals and Allied Products, Nec"
424710,Petroleum Bulk Stations and Terminals ,5171,Petroleum Bulk Stations and Terminals
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,5172,"Petroleum Products, Nec"
424810,Beer and Ale Merchant Wholesalers ,5181,Beer and Ale
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,5182,Wine and Distilled Beverages
424910,Farm Supplies Merchant Wholesalers ,5191,Farm Supplies
424920,"Book, Periodical, and Newspaper Merchant Wholesalers ",5192,"Books, Periodicals, and Newspapers"
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers ",5193,Flowers and Florists Supplies
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers ,5194,Tobacco and Tobacco Products
424950,"Paint, Varnish, and Supplies Merchant Wholesalers ",5198,"Paints, Varnishes, and Supplies"
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,5199,"Nondurable Goods, Nec"
425120,Wholesale Trade Agents and Brokers ,5012,Automobiles and Other Motor Vehicles
425120,Wholesale Trade Agents and Brokers ,5013,Motor Vehicle Supplies and New Parts
425120,Wholesale Trade Agents and Brokers ,5014,Tires and Tubes
425120,Wholesale Trade Agents and Brokers ,5015,"Motor Vehicle Parts, Used"
425120,Wholesale Trade Agents and Brokers ,5021,Furniture
425120,Wholesale Trade Agents and Brokers ,5023,Homefurnishings
425120,Wholesale Trade Agents and Brokers ,5031,"Lumber, Plywood, and Millwork"
425120,Wholesale Trade Agents and Brokers ,5032,"Brick, Stone, and Related Material"
425120,Wholesale Trade Agents and Brokers ,5033,"Roofing, Siding, and Insulation"
425120,Wholesale Trade Agents and Brokers ,5039,"Construction Materials, Nec"
425120,Wholesale Trade Agents and Brokers ,5043,Photographic Equipment and Supplies
425120,Wholesale Trade Agents and Brokers ,5044,Office Equipment
425120,Wholesale Trade Agents and Brokers ,5045,"Computers, Peripherals, and Software"
425120,Wholesale Trade Agents and Brokers ,5046,"Commercial Equipment, Nec"
425120,Wholesale Trade Agents and Brokers ,5047,Medical and Hospital Equipment
425120,Wholesale Trade Agents and Brokers ,5048,Ophthalmic Goods
425120,Wholesale Trade Agents and Brokers ,5049,"Professional Equipment, Nec"
425120,Wholesale Trade Agents and Brokers ,5051,Metals Service Centers and Offices
425120,Wholesale Trade Agents and Brokers ,5052,Coal and Other Minerals and Ores
425120,Wholesale Trade Agents and Brokers ,5063,Electrical Apparatus and Equipment
425120,Wholesale Trade Agents and Brokers ,5064,"Electrical Appliances, Television and Radio"
425120,Wholesale Trade Agents and Brokers ,5065,"Electronic Parts and Equipment, Nec"
425120,Wholesale Trade Agents and Brokers ,5072,Hardware
425120,Wholesale Trade Agents and Brokers ,5074,Plumbing and Hydronic Heating Supplies
425120,Wholesale Trade Agents and Brokers ,5075,Warm Air Heating and Air Conditioning
425120,Wholesale Trade Agents and Brokers ,5078,Refrigeration Equipment and Supplies
425120,Wholesale Trade Agents and Brokers ,5082,Construction and Mining Machinery
425120,Wholesale Trade Agents and Brokers ,5083,Farm and Garden Machinery
425120,Wholesale Trade Agents and Brokers ,5084,Industrial Machinery and Equipment
425120,Wholesale Trade Agents and Brokers ,5085,Industrial Supplies
425120,Wholesale Trade Agents and Brokers ,5087,Service Establishment Equipment
425120,Wholesale Trade Agents and Brokers ,5088,Transportation Equipment and Supplies
425120,Wholesale Trade Agents and Brokers ,5091,Sporting and Recreation Goods
425120,Wholesale Trade Agents and Brokers ,5092,Toys and Hobby Goods and Supplies
425120,Wholesale Trade Agents and Brokers ,5093,Scrap and Waste Materials
425120,Wholesale Trade Agents and Brokers ,5094,Jewelry and Precious Stones
425120,Wholesale Trade Agents and Brokers ,5099,"Durable Goods, Nec"
425120,Wholesale Trade Agents and Brokers ,5111,Printing and Writing Paper
425120,Wholesale Trade Agents and Brokers ,5112,Stationery and Office Supplies
425120,Wholesale Trade Agents and Brokers ,5113,Industrial and Personal Service Paper
425120,Wholesale Trade Agents and Brokers ,5122,"Drugs, Proprietaries, and Sundries"
425120,Wholesale Trade Agents and Brokers ,5131,Piece Goods and Notions
425120,Wholesale Trade Agents and Brokers ,5136,Men's and Boy's Clothing
425120,Wholesale Trade Agents and Brokers ,5137,Women's and Children's Clothing
425120,Wholesale Trade Agents and Brokers ,5139,Footwear
425120,Wholesale Trade Agents and Brokers ,5141,"Groceries, General Line"
425120,Wholesale Trade Agents and Brokers ,5142,Packaged Frozen Goods
425120,Wholesale Trade Agents and Brokers ,5143,"Dairy Products, Except Dried or Canned"
425120,Wholesale Trade Agents and Brokers ,5144,Poultry and Poultry Products
425120,Wholesale Trade Agents and Brokers ,5145,Confectionery
425120,Wholesale Trade Agents and Brokers ,5146,Fish and Seafoods
425120,Wholesale Trade Agents and Brokers ,5147,Meats and Meat Products
425120,Wholesale Trade Agents and Brokers ,5148,Fresh Fruits and Vegetables
425120,Wholesale Trade Agents and Brokers ,5149,"Groceries and Related Products, Nec"
425120,Wholesale Trade Agents and Brokers ,5153,Grain and Field Beans
425120,Wholesale Trade Agents and Brokers ,5154,Livestock
425120,Wholesale Trade Agents and Brokers ,5159,"Farm-product Raw Materials, Nec"
425120,Wholesale Trade Agents and Brokers ,5162,Plastics Materials and Basic Shapes
425120,Wholesale Trade Agents and Brokers ,5169,"Chemicals and Allied Products, Nec"
425120,Wholesale Trade Agents and Brokers ,5172,"Petroleum Products, Nec"
425120,Wholesale Trade Agents and Brokers ,5181,Beer and Ale
425120,Wholesale Trade Agents and Brokers ,5182,Wine and Distilled Beverages
425120,Wholesale Trade Agents and Brokers ,5191,Farm Supplies
425120,Wholesale Trade Agents and Brokers ,5192,"Books, Periodicals, and Newspapers"
425120,Wholesale Trade Agents and Brokers ,5193,Flowers and Florists Supplies
425120,Wholesale Trade Agents and Brokers ,5194,Tobacco and Tobacco Products
425120,Wholesale Trade Agents and Brokers ,5198,"Paints, Varnishes, and Supplies"
425120,Wholesale Trade Agents and Brokers ,5199,"Nondurable Goods, Nec"
425120,Wholesale Trade Agents and Brokers ,5012,Automobiles and Other Motor Vehicles
425120,Wholesale Trade Agents and Brokers ,5013,Motor Vehicle Supplies and New Parts
425120,Wholesale Trade Agents and Brokers ,5014,Tires and Tubes
425120,Wholesale Trade Agents and Brokers ,5015,"Motor Vehicle Parts, Used"
425120,Wholesale Trade Agents and Brokers ,5021,Furniture
425120,Wholesale Trade Agents and Brokers ,5023,Homefurnishings
425120,Wholesale Trade Agents and Brokers ,5031,"Lumber, Plywood, and Millwork"
425120,Wholesale Trade Agents and Brokers ,5032,"Brick, Stone, and Related Material"
425120,Wholesale Trade Agents and Brokers ,5033,"Roofing, Siding, and Insulation"
425120,Wholesale Trade Agents and Brokers ,5039,"Construction Materials, Nec"
425120,Wholesale Trade Agents and Brokers ,5043,Photographic Equipment and Supplies
425120,Wholesale Trade Agents and Brokers ,5044,Office Equipment
425120,Wholesale Trade Agents and Brokers ,5045,"Computers, Peripherals, and Software"
425120,Wholesale Trade Agents and Brokers ,5046,"Commercial Equipment, Nec"
425120,Wholesale Trade Agents and Brokers ,5047,Medical and Hospital Equipment
425120,Wholesale Trade Agents and Brokers ,5048,Ophthalmic Goods
425120,Wholesale Trade Agents and Brokers ,5049,"Professional Equipment, Nec"
425120,Wholesale Trade Agents and Brokers ,5051,Metals Service Centers and Offices
425120,Wholesale Trade Agents and Brokers ,5052,Coal and Other Minerals and Ores
425120,Wholesale Trade Agents and Brokers ,5063,Electrical Apparatus and Equipment
425120,Wholesale Trade Agents and Brokers ,5064,"Electrical Appliances, Television and Radio"
425120,Wholesale Trade Agents and Brokers ,5065,"Electronic Parts and Equipment, Nec"
425120,Wholesale Trade Agents and Brokers ,5072,Hardware
425120,Wholesale Trade Agents and Brokers ,5074,Plumbing and Hydronic Heating Supplies
425120,Wholesale Trade Agents and Brokers ,5075,Warm Air Heating and Air Conditioning
425120,Wholesale Trade Agents and Brokers ,5078,Refrigeration Equipment and Supplies
425120,Wholesale Trade Agents and Brokers ,5082,Construction and Mining Machinery
425120,Wholesale Trade Agents and Brokers ,5083,Farm and Garden Machinery
425120,Wholesale Trade Agents and Brokers ,5084,Industrial Machinery and Equipment
425120,Wholesale Trade Agents and Brokers ,5085,Industrial Supplies
425120,Wholesale Trade Agents and Brokers ,5087,Service Establishment Equipment
425120,Wholesale Trade Agents and Brokers ,5088,Transportation Equipment and Supplies
425120,Wholesale Trade Agents and Brokers ,5091,Sporting and Recreation Goods
425120,Wholesale Trade Agents and Brokers ,5092,Toys and Hobby Goods and Supplies
425120,Wholesale Trade Agents and Brokers ,5093,Scrap and Waste Materials
425120,Wholesale Trade Agents and Brokers ,5094,Jewelry and Precious Stones
425120,Wholesale Trade Agents and Brokers ,5099,"Durable Goods, Nec"
425120,Wholesale Trade Agents and Brokers ,5111,Printing and Writing Paper
425120,Wholesale Trade Agents and Brokers ,5112,Stationery and Office Supplies
425120,Wholesale Trade Agents and Brokers ,5113,Industrial and Personal Service Paper
425120,Wholesale Trade Agents and Brokers ,5122,"Drugs, Proprietaries, and Sundries"
425120,Wholesale Trade Agents and Brokers ,5131,Piece Goods and Notions
425120,Wholesale Trade Agents and Brokers ,5136,Men's and Boy's Clothing
425120,Wholesale Trade Agents and Brokers ,5137,Women's and Children's Clothing
425120,Wholesale Trade Agents and Brokers ,5139,Footwear
425120,Wholesale Trade Agents and Brokers ,5141,"Groceries, General Line"
425120,Wholesale Trade Agents and Brokers ,5142,Packaged Frozen Goods
425120,Wholesale Trade Agents and Brokers ,5143,"Dairy Products, Except Dried or Canned"
425120,Wholesale Trade Agents and Brokers ,5144,Poultry and Poultry Products
425120,Wholesale Trade Agents and Brokers ,5145,Confectionery
425120,Wholesale Trade Agents and Brokers ,5146,Fish and Seafoods
425120,Wholesale Trade Agents and Brokers ,5147,Meats and Meat Products
425120,Wholesale Trade Agents and Brokers ,5148,Fresh Fruits and Vegetables
425120,Wholesale Trade Agents and Brokers ,5149,"Groceries and Related Products, Nec"
425120,Wholesale Trade Agents and Brokers ,5153,Grain and Field Beans
425120,Wholesale Trade Agents and Brokers ,5154,Livestock
425120,Wholesale Trade Agents and Brokers ,5159,"Farm-product Raw Materials, Nec"
425120,Wholesale Trade Agents and Brokers ,5162,Plastics Materials and Basic Shapes
425120,Wholesale Trade Agents and Brokers ,5169,"Chemicals and Allied Products, Nec"
425120,Wholesale Trade Agents and Brokers ,5172,"Petroleum Products, Nec"
425120,Wholesale Trade Agents and Brokers ,5181,Beer and Ale
425120,Wholesale Trade Agents and Brokers ,5182,Wine and Distilled Beverages
425120,Wholesale Trade Agents and Brokers ,5191,Farm Supplies
425120,Wholesale Trade Agents and Brokers ,5192,"Books, Periodicals, and Newspapers"
425120,Wholesale Trade Agents and Brokers ,5193,Flowers and Florists Supplies
425120,Wholesale Trade Agents and Brokers ,5194,Tobacco and Tobacco Products
425120,Wholesale Trade Agents and Brokers ,5198,"Paints, Varnishes, and Supplies"
425120,Wholesale Trade Agents and Brokers ,5199,"Nondurable Goods, Nec"
425120,Wholesale Trade Agents and Brokers ,7389,"Business Services, Nec"
441110,New Car Dealers ,5511,New and Used Car Dealers
441120,Used Car Dealers ,5521,Used Car Dealers
441210,Recreational Vehicle Dealers ,5561,Recreational Vehicle Dealers
441222,Boat Dealers ,5551,Boat Dealers
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",5571,Motorcycle Dealers
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",5599,"Automotive Dealers, Nec"
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",5961,Catalog and Mail-order Houses
441330,Automotive Parts and Accessories Retailers ,5013,Motor Vehicle Supplies and New Parts
441330,Automotive Parts and Accessories Retailers ,5015,"Motor Vehicle Parts, Used"
441330,Automotive Parts and Accessories Retailers ,5531,Auto and Home Supply Stores
441330,Automotive Parts and Accessories Retailers ,5731,"Radio, Television, and Electronic Stores"
441330,Automotive Parts and Accessories Retailers ,5961,Catalog and Mail-order Houses
441330,Automotive Parts and Accessories Retailers ,5963,Direct Selling Establishments
441340,Tire Dealers ,5014,Tires and Tubes
441340,Tire Dealers ,5531,Auto and Home Supply Stores
444110,Home Centers ,5031,"Lumber, Plywood, and Millwork"
444110,Home Centers ,5211,Lumber and Other Building Materials
444120,Paint and Wallpaper Retailers ,5231,"Paint, Glass, and Wallpaper Stores"
444140,Hardware Retailers ,5072,Hardware
444140,Hardware Retailers ,5251,Hardware Stores
444140,Hardware Retailers ,7699,"Repair Services, Nec"
444140,Hardware Retailers ,5961,Catalog and Mail-order Houses
444140,Hardware Retailers ,5963,Direct Selling Establishments
444180,Other Building Material Dealers ,5032,"Brick, Stone, and Related Material"
444180,Other Building Material Dealers ,5033,"Roofing, Siding, and Insulation"
444180,Other Building Material Dealers ,5039,"Construction Materials, Nec"
444180,Other Building Material Dealers ,5063,Electrical Apparatus and Equipment
444180,Other Building Material Dealers ,5064,"Electrical Appliances, Television and Radio"
444180,Other Building Material Dealers ,5074,Plumbing and Hydronic Heating Supplies
444180,Other Building Material Dealers ,5099,"Durable Goods, Nec"
444180,Other Building Material Dealers ,5211,Lumber and Other Building Materials
444180,Other Building Material Dealers ,5231,"Paint, Glass, and Wallpaper Stores"
444180,Other Building Material Dealers ,5961,Catalog and Mail-order Houses
444180,Other Building Material Dealers ,5963,Direct Selling Establishments
444230,Outdoor Power Equipment Retailers ,5083,Farm and Garden Machinery
444230,Outdoor Power Equipment Retailers ,5261,Retail Nurseries and Garden Stores
444230,Outdoor Power Equipment Retailers ,7699,"Repair Services, Nec"
444230,Outdoor Power Equipment Retailers ,5961,Catalog and Mail-order Houses
444230,Outdoor Power Equipment Retailers ,5963,Direct Selling Establishments
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5153,Grain and Field Beans
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5159,"Farm-product Raw Materials, Nec"
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5191,Farm Supplies
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5193,Flowers and Florists Supplies
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5261,Retail Nurseries and Garden Stores
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5961,Catalog and Mail-order Houses
444240,"Nursery, Garden Center, and Farm Supply Retailers ",5963,Direct Selling Establishments
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers) ,5141,"Groceries, General Line"
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers) ,5411,Grocery Stores
445131,Convenience Retailers,5411,Grocery Stores
445131,Convenience Retailers,5961,Catalog and Mail-order Houses
445131,Convenience Retailers,5963,Direct Selling Establishments
445132,Vending Machine Operators ,5962,Merchandising Machine Operators
445230,Fruit and Vegetable Retailers ,5148,Fresh Fruits and Vegetables
445230,Fruit and Vegetable Retailers ,5431,Fruit and Vegetable Markets
445240,Meat Retailers ,5144,Poultry and Poultry Products
445240,Meat Retailers ,5147,Meats and Meat Products
445240,Meat Retailers ,5421,Meat and Fish Markets
445240,Meat Retailers ,5499,Miscellaneous Food Stores
445240,Meat Retailers ,5421,Meat and Fish Markets
445240,Meat Retailers ,5961,Catalog and Mail-order Houses
445240,Meat Retailers ,5963,Direct Selling Establishments
445250,Fish and Seafood Retailers ,5146,Fish and Seafoods
445250,Fish and Seafood Retailers ,5421,Meat and Fish Markets
445250,Fish and Seafood Retailers ,5421,Meat and Fish Markets
445250,Fish and Seafood Retailers ,5961,Catalog and Mail-order Houses
445250,Fish and Seafood Retailers ,5963,Direct Selling Establishments
445291,Baked Goods Retailers ,5461,Retail Bakeries
445292,Confectionery and Nut Retailers ,5145,Confectionery
445292,Confectionery and Nut Retailers ,5441,"Candy, Nut, and Confectionery Stores"
445298,All Other Specialty Food Retailers ,5143,"Dairy Products, Except Dried or Canned"
445298,All Other Specialty Food Retailers ,5149,"Groceries and Related Products, Nec"
445298,All Other Specialty Food Retailers ,5451,Dairy Products Stores
445298,All Other Specialty Food Retailers ,5499,Miscellaneous Food Stores
445298,All Other Specialty Food Retailers ,5961,Catalog and Mail-order Houses
445298,All Other Specialty Food Retailers ,5963,Direct Selling Establishments
445320,"Beer, Wine, and Liquor Retailers ",5181,Beer and Ale
445320,"Beer, Wine, and Liquor Retailers ",5182,Wine and Distilled Beverages
445320,"Beer, Wine, and Liquor Retailers ",5921,Liquor Stores
445320,"Beer, Wine, and Liquor Retailers ",5961,Catalog and Mail-order Houses
445320,"Beer, Wine, and Liquor Retailers ",5963,Direct Selling Establishments
449110,Furniture Retailers ,5021,Furniture
449110,Furniture Retailers ,5712,Furniture Stores
449110,Furniture Retailers ,5961,Catalog and Mail-order Houses
449110,Furniture Retailers ,5963,Direct Selling Establishments
449121,Floor Covering Retailers ,5023,Homefurnishings
449121,Floor Covering Retailers ,5713,Floor Covering Stores
449121,Floor Covering Retailers ,5961,Catalog and Mail-order Houses
449121,Floor Covering Retailers ,5963,Direct Selling Establishments
449122,Window Treatment Retailers ,5714,Drapery and Upholstery Stores
449122,Window Treatment Retailers ,5719,Miscellaneous Homefurnishings
449122,Window Treatment Retailers ,5961,Catalog and Mail-order Houses
449122,Window Treatment Retailers ,5963,Direct Selling Establishments
449129,All Other Home Furnishings Retailers ,5719,Miscellaneous Homefurnishings
449129,All Other Home Furnishings Retailers ,7699,"Repair Services, Nec"
449129,All Other Home Furnishings Retailers ,5961,Catalog and Mail-order Houses
449129,All Other Home Furnishings Retailers ,5963,Direct Selling Establishments
449210,Electronics and Appliance Retailers,5064,"Electrical Appliances, Television and Radio"
449210,Electronics and Appliance Retailers,5722,Household Appliance Stores
449210,Electronics and Appliance Retailers,7623,Refrigeration Service and Repair
449210,Electronics and Appliance Retailers,7629,Electrical Repair Shops
449210,Electronics and Appliance Retailers,5045,"Computers, Peripherals, and Software"
449210,Electronics and Appliance Retailers,5064,"Electrical Appliances, Television and Radio"
449210,Electronics and Appliance Retailers,5065,"Electronic Parts and Equipment, Nec"
449210,Electronics and Appliance Retailers,5065,"Electronic Parts and Equipment, Nec"
449210,Electronics and Appliance Retailers,5099,"Durable Goods, Nec"
449210,Electronics and Appliance Retailers,5731,"Radio, Television, and Electronic Stores"
449210,Electronics and Appliance Retailers,5734,Computer and Software Stores
449210,Electronics and Appliance Retailers,5735,Record and Prerecorded Tape Stores
449210,Electronics and Appliance Retailers,5946,Camera and Photographic Supply Stores
449210,Electronics and Appliance Retailers,5999,"Miscellaneous Retail Stores, Nec"
449210,Electronics and Appliance Retailers,7378,Computer Maintenance and Repair
449210,Electronics and Appliance Retailers,7622,Radio and Television Repair
449210,Electronics and Appliance Retailers,5961,Catalog and Mail-order Houses
449210,Electronics and Appliance Retailers,5963,Direct Selling Establishments
455110,Department Stores ,5311,Department Stores
455110,Department Stores ,5399,Miscellaneous General Merchandise
455110,Department Stores ,5411,Grocery Stores
455110,Department Stores ,5961,Catalog and Mail-order Houses
455211,Warehouse Clubs and Supercenters ,5311,Department Stores
455211,Warehouse Clubs and Supercenters ,5399,Miscellaneous General Merchandise
455211,Warehouse Clubs and Supercenters ,5411,Grocery Stores
455211,Warehouse Clubs and Supercenters ,5961,Catalog and Mail-order Houses
455219,All Other General Merchandise Retailers ,5331,Variety Stores
455219,All Other General Merchandise Retailers ,5399,Miscellaneous General Merchandise
455219,All Other General Merchandise Retailers ,5531,Auto and Home Supply Stores
455219,All Other General Merchandise Retailers ,5961,Catalog and Mail-order Houses
455219,All Other General Merchandise Retailers ,5963,Direct Selling Establishments
